1459012046.579000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.579000, /muse/eeg, 855.3898, 832.36005, 843.87494, 843.87494
1459012046.580000, /muse/elements/alpha_relative, 0.5400748, 0.18335946, 0.18024963, 0.4586182
1459012046.580000, /muse/elements/beta_relative, 0.14132263, 0.15475486, 0.21090177, 0.24228771
1459012046.580000, /muse/elements/delta_relative, 0.13387705, 0.38359332, 0.20027411, 0.07910033
1459012046.580000, /muse/elements/gamma_relative, 0.10588944, 0.15815432, 0.16160657, 0.1340409
1459012046.581000, /muse/elements/theta_relative, 0.07883608, 0.12013804, 0.24696791, 0.08595286
1459012046.581000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1459012046.581000, /muse/elements/is_good, 1, 1, 1, 1
1459012046.582000, /muse/elements/blink, 0
1459012046.582000, /muse/elements/jaw_clench, 0
1459012046.582000, /muse/elements/touching_forehead, 1
1459012046.582000, /muse/elements/experimental/concentration, 0.0
1459012046.582000, /muse/elements/experimental/mellow, 0.26168972
1459012046.583000, /muse/elements/raw_fft0, -6.7210555, -3.0535164, -3.4964702, -0.11598436, -2.3103309, -8.136109, -5.5353727, -7.682151, -3.49965, -4.248683, 0.33991268, 2.083275, 0.7417068, -5.3744836, -7.106482, -4.6695924, -13.791764, -11.994232, -8.275189, -9.833636, -12.940949, -13.264808, -4.4329333, -4.3909197, -4.0556884, -10.243489, -15.848184, -11.531862, -10.343588, -14.165801, -11.748024, -11.330566, -13.386536, -11.789072, -9.281477, -10.691406, -8.040467, -10.61124, -8.188379, -5.6610756, -8.225385, -10.981364, -7.9437222, -13.89848, -12.93333, -16.437004, -10.885415, -8.773698, -5.4298983, -8.487356, -12.450233, -16.742502, -14.938071, -10.40656, -13.286883, -10.162085, -12.983664, -13.609405, -14.183642, -17.221899, -17.335209, -11.059326, -11.723397, -17.905903, -15.150495, -16.227547, -20.512232, -17.615944, -25.110327, -29.469334, -31.200504, -31.293278, -23.82743, -20.697208, -21.258617, -22.282942, -16.52328, -13.967003, -19.102701, -23.638569, -12.829187, -11.245956, -20.664299, -15.495099, -12.740782, -15.0501795, -16.890614, -15.3770075, -17.232574, -18.25008, -15.431726, -17.27095, -14.1262665, -12.689073, -13.447603, -16.879925, -19.306578, -16.123604, -17.016268, -15.311391, -13.116578, -16.679808, -17.047266, -15.526641, -20.075457, -22.16551, -20.39032, -17.78748, -13.057002, -14.467479, -15.829942, -15.0361395, -15.902804, -18.144686, -15.985406, -14.904813, -20.673069, -17.97051, -19.708858, -28.934889, -26.320965, -20.24723, -24.182188, -18.290905, -19.984447, -26.635767, -24.577303, -28.65536, -31.609324
